date,reported_by,description,incident_type,severity,status
3/12/2020,Vicious Panda,The suspected Chinese threat actor Vicious Panda conducted a coronavirus-related phishing campaign against targets in the Mongolian government.,Espionage,High,Resolved
5/26/2020,Crouching Yeti,Hackers used supply chain vulnerabilities to access German critical infrastructure companies’ information technology (IT) systems.,Espionage,High,Resolved
9/22/2020,APT 28,"Responsible for disguising Zebrocy malware, which creates a persistent backdoor, as North Atlantic Treaty Organization (NATO) training materials. Azerbaijan, which cooperates with NATO, is a suspected target.",Espionage,Medium,Investigating
1/27/2020,Government of Turkey,"The Turkish hackers attacked at least thirty organizations across the Middle East and Europe, including Cypriot and Greek government email services and the Iraqi government’s national security advisor. Their methods include intercepting internet traffic to victim websites.",Espionage,HIgh,Investigating
4/22/2020,Ocean Lotus,Vietnamese hackers sent spear-phishing messages to the Wuhan government and China’s Ministry of Emergency Management.,Espionage,Critical,Open
7/29/2020,,Believed to be responsible for conducting a hacking and information operations campaign in Eastern Europe. Hackers compromised websites and email accounts and used them to publish fabricated documents pushing anti–North Atlantic Treaty Organization (NATO) narratives. They then donned fake personas of local officials to promote the fabricated documents on social media.,,High,Resolved
3/16/2020,"Also known as Mythic Leopard, Transparent Tribe, TMP.Lapis, ProjectM, C-Major.",Pakistani government-aligned threat actor that has used fake coronavirus health information to phish targets.,,Low,Open
5/19/2020,Israel,"Israel retaliated against Iran for targeting of Israeli water treatment and sewage facilities by launching a cyberattack against Iran’s Shahid Rajaee Port, disrupting its operations.",Sabotage,Critical,Investigating
8/19/2020,Lazarus Group,North Korean hackers used fake job postings from leading U.S. defense contractors on LinkedIn to install malicious data-gathering software when clicked.,Espionage,High,Investigating
3/13/2020,APT 28,"The Russian hackers Hades (aka APT 28) targeted Ukraine with coronavirus-themed phishing emails. At the same time, viral disinformation about the virus spread in Ukraine, causing riots.",Espionage,High,Resolved
5/28/2020,Sandworm,"Hackers from Sandworm exploited a zero-day vulnerability in Exim mail transfer agent software, which runs on email servers around the world, granting them the ability to remotely execute commands on the compromised servers.",Espionage,Medium,Resolved
9/24/2020,APT 28,Russian hackers used compromised credentials to install malware and ultimately steal files from unnamed U.S. government agency computers.,Espionage,HIgh,Investigating
1/30/2020,APT 34,"The Iranian state-backed hackers sent out sophisticated spear-phishing lures imitating Westat, a research services company, in hopes of compromising U.S. government employees and networks. They could have also intended to compromise actual Westat employees.",Espionage,Critical,Investigating
5/7/2020,APT 30,"Using a new exploit named Aria-body, APT 30 attempted to compromise networks belonging to governments and state-owned companies in Australia and Southeast Asia.",Espionage,High,Open
7/29/2020,Ghostwriter,"Hackers targeted websites and email accounts in Latvia, Lithuania, and Poland to publish fabricated documents pushing anti–North Atlantic Treaty Organization (NATO) narratives consistent with Kremlin talking points.",Defacement,Low,Resolved
3/16/2020,APT 36,The Pakistani government–aligned threat actor APT 36 used a fake coronavirus health advisory to phish its targets and deliver a RAT.,Espionage,Critical,Open
5/5/2020,Winnti Umbrella,"China-linked Winnti Umbrella launched a ransomware attack against Taiwan’s state oil company, CPC Corporation, causing its website to go offline for one day.",Sabotage,High,Investigating
8/28/2020,Kimsuky,"North Korean hackers launched a spear-phishing campaign that disguised malware as UN security alerts and interview requests. At least twenty-eight UN officials, eleven of whom represented six members of the UN Security Council, were targeted.",Espionage,High,Investigating
2/6/2020,"Unknown, suspected Bronze Butler.",The Japanese defense contractors Pasco and Kobe Steel disclosed security breaches that happened between 2015 and 2016 and in May 2018. Kobe steel supplies submarine parts to the Japan Self-Defense Forces and Pasco provides satellite data. Nikkei suspects that Bronze Butler could have been involved.,Espionage,Medium,Resolved
6/19/2020,Government of China,Hackers believed by Australian officials to be operating on behalf of China targeted Australian government agencies and companies through a known exploit in Microsoft Sharepoint.,Espionage,HIgh,Resolved
1/31/2020,Winnti Umbrella,"The Winnti Umbrella, a Chinese government-backed threat actor, installed malware on computer systems at two universities in Hong Kong during protests. Three other universities in Hong Kong could have been simultaneously targeted.",Espionage,Critical,Investigating
5/7/2020,Iranian government,"Iranian hackers sought to cripple computers that control water flow and wastewater treatment for two rural districts in Israel. Israeli officials reported that the attack was quickly detected and defeated, preventing harm to water supplies.",Sabotage,High,Investigating
8/8/2020,Believed to be the work of the Chinese government. ,"Hackers targeted various entities involved in Taiwan-related issues with spear-phishing emails containing Taidoor, a remote-access trojan (RAT) designed to maintain a presence on victim networks for use in later network exploitation.",Espionage,Low,Open
3/20/2020,APT 28,"The Russian threat actor APT 28 used phishing campaigns to steal credentials from organizations across the world, in government, private sector, and civil society. They also searched the internet for vulnerable webmail servers.",Espionage,Critical,Resolved
9/10/2020,APT 28,"Russian hackers attempted to steal log-in credentials primarily belonging to more than two hundred political campaigns, advocacy groups, parties, and consultants.",Espionage,High,Open
1/8/2020,Lazarus Group,The North Korean hackers renewed attacks against unnamed cryptocurrency businesses to steal cryptocurrency for financial gain.,Financial Theft,High,Investigating
6/11/2020,Gamaredon,Hackers sent spear-phishing emails to the accounts of officials in various Ukrainian government organizations. The emails contained attachments that downloaded malware when opened.,Espionage,Medium,Investigating
1/30/2020,Charming Kitten,The Iranian state-backed threat actor Charming Kitten impersonated prominent journalists and sent targets fake interview requests in order to steal their credentials and send them malware.,Espionage,HIgh,Resolved
4/30/2020,,Pirate Panda is believed to be responsible for phishing attacks targeting Vietnamese government officials located near the disputed Paracel Islands in the South China Sea.,,Critical,Resolved
8/3/2020,Believed to be the work of the Russian government. ,"Hackers accessed the account of former United Kingdom (UK) Trade Minister Liam Fox, between July 12 and October 21 2019, stealing six tranches of documents detailing British trade negotiations with the United States. Hackers then released the documents as part of a Russian disinformation campaign targeting the 2019 UK general election.",Espionage,High,Investigating
3/23/2020,DarkHotel,"DarkHotel, an advanced actor possibly associated with the South Korean government, attempted to phish World Health Organization employees.",Espionage,Low,Investigating
5/19/2020,Greenbug,The Greenbug group used off-the-shelf tools and living-off-the-land techniques to gain access to South Asian telecommunication providers’ database servers.,Espionage,Critical,Open
9/10/2020,Also known as APT 31 and Judgement Panda.,Responsible for targeting email accounts belonging to former Vice President Joe Biden’s campaign staff and for attempting to discern whether accounts belonging to members of the international affairs community are active.,Espionage,High,Resolved
3/24/2020,Lotus Blossom,The Chinese threat actor Lotus Blossom used watering holes on fake news sites to deploy iOS exploits against Hong Kong citizens.,Espionage,High,Open
2/7/2020,APT 40,"APT 40, a threat actor believed to be associated with the Chinese government, allegedly targeted Malaysian government officials with highly targeted spear-phishing attacks in order to install malware and steal confidential documents from government networks.",Espionage,Medium,Investigating
4/30/2020,Pirate Panda,"The Chinese-linked threat actor Pirate Panda sent phishing emails to Vietnamese government officials located in Da Nang, Vietnam.",Espionage,HIgh,Investigating
9/3/2020,Believed to be the work of Togolese security forces. ,"Hackers used spyware, developed by Israeli technology firm NSO Group, that exploited a vulnerability in the messaging app WhatsApp to inject spyware onto the phones of opposition politicians and prominent religious leaders in Togo. The hack coincided with pro-reform protests in the country.",Espionage,Critical,Resolved
3/25/2020,APT 41,The Chinese threat actor APT 41 attempted to exploit three vulnerabilities at over seventy-five organizations across sectors and countries. This was one of the most widespread attacks by a Chinese threat actor in years.,Espionage,High,Resolved
5/21/2020,Winnti Umbrella,Hackers leveraged a backdoor to compromise Taiwanese and South Korean video game companies’ systems.,Espionage,Low,Investigating
9/10/2020,Zirconium,Responsible for targeting non-campaign email accounts belonging to former Vice President Biden’s election campaign staff. Also responsible for using web bugs to determine whether accounts belonging to academics and important figures in the international affairs community are active.,Espionage,Critical,Investigating
1/23/2020,,Attempted to trick employees of unnamed U.S. government agency to install malware on their computers via a spearphishing campaign.,,High,Open
8/11/2020,,"Responsible for orchestrating and executing various operations to protect the United States and its interests, including steps to disrupt the Internet Research Agency and the Trickbot botnet.",Sabotage,High,Resolved
2/5/2020,Gamaredon,The Russia-aligned threat actor Gamaredon intensified its efforts to compromise Ukrainian defense and intelligence targets. The attacks include both cyberespionage and attempted sabotage of physical assets.,Sabotage,Medium,Open
4/28/2020,Ocean Lotus,The Vietnam-linked threat group uploaded malware-infected apps to the Google Play store to trick users into downloading them onto their phones.,Espionage,HIgh,Investigating
2/16/2020,Also known as Parasite,Responsible for targeting unpatched network equipment belonging to U.S. government agencies and private companies.,Espionage,Critical,Investigating
3/26/2020,DarkHotel,"DarkHotel, a South Korea–linked threat actor, used five zero-days in a single campaign targeting North Koreans, demonstrating an unusual level of sophistication.",Espionage,High,Resolved
5/26/2020,Turla,"Hackers used a remote access trojan (RAT), ComRAT v4, to exfiltrate sensitive documents from Central Asian and Eastern European government computers.",Espionage,Low,Resolved
9/10/2020,Charming Kitten,Iranian hackers attempted to log into accounts associated with the Trump administration and campaign staff.,Espionage,Critical,Investigating
11/12/2019,Lazarus Group,"Devices on a noncritical administrative network in a nuclear power plant in Tamil Nadu, India, were compromised by DTrack, a remote access Trojan (RAT) associated with the Lazarus Group.",Espionage,High,Investigating
1/18/2019,Suspected to be the work of the Dukes. ,The DNC alleged it was targeted in an unsuccessful cyberattack eight days after the 2018 elections in an attempted spear-phishing campaign.,Espionage,High,Open
9/11/2019,Believed to be the work of Cobalt Dickens.,"A threat actor launched a phishing operation with spoofed login pages to steal the credentials of users at over sixty universities in the United States, United Kingdom, and elsewhere.",Espionage,Medium,Resolved
12/4/2019,Chinese government,China’s government used its “Great Cannon” distributed denial of service (DDOS) system for the first time in two years to attack a forum where Hong Kong residents organized protests.,Denial of service,HIgh,Open
4/4/2019,Wicked Panda,"A threat actor put malicious software on Bayer's computer system but did not steal any information, as reported by the company.",Data destruction,Critical,Investigating
9/24/2019,Believed to be the work of Poison Carp.,"A threat actor aimed to infect mobile phones belonging to senior members of Tibetan groups, including people who worked directly for the Dalai Lama and lawmakers in Tibet's parliament. The threat actor posed as a human rights worker or journalist and contacted victims through WhatsApp. The campaign involved Android browser vulnerabilities and Android and iOS spyware. The tools appeared in similar attacks, discovered in September, carried out against China's Uighur population.",Espionage,High,Investigating
10/21/2019,Turla,The Russian threat actor Turla took over an Iranian espionage operation belonging to Iranian-linked APT 34 (aka Oilrig) and used it to attack a number of targets while masquerading as Iran.,Espionage,Low,Resolved
7/24/2019,Believed to be the work of Winnti.,"A threat actor used a Trojan horse to gain remote backdoor access to German energy technology company Siemens, chemical firm BASF, and consumer goods company Henkel. Non-German companies Roche, Lion Air, and Marriott were also targeted.",Espionage,Critical,Resolved
12/29/2019,Bronze President,"The China-affiliated threat actor Bronze President attacked nongovernmental organizations, political agencies, and law enforcement in Mongolia and India, among other countries.",Espionage,High,Investigating
1/30/2019,Believed to be the work of the UAE government.,"Former U.S. government intelligence operatives working for the UAE used the spying tool Karma to hack the iPhones of activists, diplomats, and rival foreign leaders.

 ",Espionage,High,Investigating
2/22/2019,,"A threat actor used the malware BabyShark, which uses infrastructure associated with North Korean campaigns. The malware was delivered in November 2018 via spear-phishing emails written to appear as though they were sent from a nuclear security expert who works as a consultant for the U.S. government. The subject of the emails referenced North Korea's nuclear program.",Espionage,Medium,Open
12/19/2019,APT 20,A China-aligned attacker bypassed virtual private network (VPN) accounts protected by two-factor authentication to attack governments and managed service providers in a multitude of industries.,Espionage,HIgh,Resolved
6/25/2019,APT 10,"This threat actor hacked global telecommunications companies for personal data of government officials, activists, and dissidents of interest to Beijing.",Espionage,Critical,Open
9/24/2019,Also known as Evil Eye,"This threat actor has targeted senior members of Tibetan groups by sending malicious links in WhatsApp messages, while posing as nongovernmental organization workers, journalists, or other fake personas.",Espionage,High,Investigating
10/21/2019,Government of China,"China-aligned hackers breached Czech-based Avast’s network, aiming to compromise the CCleaner tool, which had previously been compromised in 2017.",Espionage,Low,Investigating
7/26/2019,Believed to be the work of Fancy Bear.,A threat actor conducted a phishing attack on investigative journalists at Bellingcat who have been probing Russian intelligence activities.,Espionage,Critical,Resolved
11/23/2019,Golden Falcon,The Russian-speaking threat actor Golden Falcon used a combination of purchased and developed tools to compromise numerous individuals in Kazakhstan and a few in China.,Espionage,High,Resolved
1/31/2019,Believed to be the work of Fancy Bear.,"Hackers set up fake login pages or sent spoof e-mails to people who work with the think tanks in an attempt to trick them into handing over information, such as passwords.",Espionage,High,Investigating
8/22/2019,"Believed to be the work of Kimusky, also known as Thallium and Smoke Screen.","A threat actor targeted a number of foreign ministries, a Chinese technology company, Stanford University, think tanks in the United States and the United Kingdom, and other entities that have focused on North Korea's nuclear efforts or the related international sanctions. The threat actor created a network of malicious websites imitating the login portals of targets. This incident is believed to be an extension of the 2018 BabyShark campaign.",,Medium,Investigating
12/22/2019,Government of the UAE,"ToTok, a popular Emirati messaging app, was revealed to be a mass surveillance tool used by the Emirati government.",Espionage,HIgh,Open
6/22/2019,U.S. Cyber Command,U.S. Cyber Command hacked Iranian rocket and missile launch systems in retaliation for the downing of a U.S. drone and attacks on oil tankers in the Strait of Hormuz. Iranian officials said the attack was not successful.,Sabotage,Critical,Resolved
8/31/2019,"Russian military intelligence agency, known as GRU",A threat actor launched a persistent campaign against the Foreign Ministry of the Czech Republic that lasted several months. This campaign follows previous attacks on the Czech Foreign Ministry in 2018 and 2017.,Espionage,High,Open
10/28/2019,Sandworm,Russian group Sandworm carried out large-scale cyberattacks against targets in Georgia.,Sabotage,Low,Investigating
8/1/2019,Unnamed state-sponsored APT,"Between July 19 and July 25, 2019, a threat actor sent several spear-phishing emails to three U.S. companies in the utility sector. The emails were sent from a domain impersonating that of the National Council of Examiners for Engineering and Surveying, an authority in the industry. The emails contained Microsoft Word attachments that used macros to install and run a new remote-access Trojan (RAT) called LookBack.",Espionage,Critical,Investigating
11/23/2019,"Also known as DustSquad, Russian-speaking but may be Kazakh.","Threat actor that has targeted Kazakh government officials and private individuals, along with some Chinese individuals.",,High,Resolved
2/6/2019,Believed to be the work of APT 10.,"Hackers used malware from the dark web to target a Norwegian internet service provider. The goal of the attack was to gain access to customers’ intellectual property, strategic plans, and emails.",Espionage,High,Resolved
9/11/2019,"Believed to be the work of Kimusky, also known as Thallium and Smoke Screen.","A threat actor targeted U.S.-based entities by emailing them malware-laced Microsoft Word documents written by industry experts. The trojanized documents discussed nuclear deterrence, North Korea's nuclear submarine program, and economic sanctions on the North Korean regime. This incident is believed to be an extension of the August Autumn Aperture campaign.",,Medium,Investigating
11/23/2019,APT 33,"Iran-aligned threat actor APT 33 targeted industrial control system manufacturers, suppliers, and maintainers.",Espionage,HIgh,Investigating
6/27/2019,Five Eyes,"This threat actor deployed Regin, a rare type of malware, in an attempt to spy on user accounts for Yandex, a Russian search engine and email provider.",Espionage,Critical,Open
9/5/2019,Believed to be the work of Chinese state-sponsored hackers.,"Multiple threat actors compromised telecoms networks across Central and Southeast Asia. The attacks were part of a wider cyber-espionage campaign targeting diplomats and state officials, and they signal China's ability and intent to track the movements of Uighurs along a number of transit routes that they use to escape state persecution.",Espionage,High,Resolved
10/2/2019,APT 17 and Bronze Butler,Two Chinese government threat actors used a number of zero-day vulnerabilities in common Japanese software to target Japanese organizations over the course of several years.,Espionage,Low,Open
8/5/2019,"Believed to be the work of Strontium, also known as APT 28 and Fancy Bear.","The threat actor exploited office devices’ weak, outdated security to access the networks of several Microsoft customers and infiltrate accounts with more privileges.",,Critical,Investigating
11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",Espionage,High,Investigating
2/27/2019,U.S. Cyber Command,"In November 2018, the U.S. Cyber Command launched an offensive campaign to combat a Russian troll operation known for using disinformation tactics.",Denial of service,High,Resolved
12/4/2019,APT 34,"Using a new wiper malware called ZeroCleare, Iranian-linked threat actor APT 34 (aka Oilrig) targeted oil companies in the Middle East.",Data destruction,Medium,Resolved
6/22/2019,Iran,This threat actor increased malicious activity targeting U.S. companies following a U.S. attack on Iranian computer systems.,Data destruction,HIgh,Investigating
12/7/2019,Rancor,The China-linked threat actor group Rancor targeted unnamed Cambodian government entities.,Espionage,Critical,Investigating
10/3/2019,China,A Chinese-linked threat actor group active in Southeast Asia,,High,Open
8/7/2019,,"This threat actor has, since 2014, conducted operations backed by the Chinese government, including targeting the health-care and high-tech sectors and conducting espionage against political dissidents. It has simultaneously conducted its own for-profit illicit activity in the video games industry, amassing millions of dollars in digital currency to be sold to gamers on the black market. The threat actor operates outside of state control but is linked to other Chinese APT malware actors and tools on a part-time or contractual basis, or is a full-time, state-sponsored APT actor that simultaneously conducts nonstate campaigns for supplemental income. This threat actor is a notable example of the blurring lines between state-sponsored and commercial cyber criminals.",Espionage,Low,Resolved
11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",Espionage,Critical,Open
3/5/2019,Believed to be the work of Leviathan.,"Chinese hackers targeted twenty-seven universities in the United States, Canada, and Southeast Asia as part of a scheme to steal research about maritime technology under development for military use.",Espionage,High,Investigating
10/4/2019,"Believed to be the work of Phosphoros, also known as APT 35","A threat actor targeted the email accounts of an unnamed U.S. presidential campaign, current and former U.S. officials and journalists, and others. During a thirty-day period in August and September, Microsoft observed more than 2,700 attempts to identify the emails of specific customers and 241 hacks.  Four accounts were compromised, though not those connected to the presidential campaign or the officials. A threat actor linked to the Iranian government unsuccessfully attempted to break into President Donald J. Trump's reelection campaign, according to sources familiar with the incident. ",Espionage,High,Investigating
11/13/2019,Government of China,Chinese government hackers attacked the National Association of Manufacturers to steal information that might be useful in U.S.-China trade negotiations.,Espionage,Medium,Resolved
11/13/2019,APT 33,"The Iran-aligned espionage group APT 33 used botnets to launch a campaign against a small number of victims in the public and private sectors in the United States, Asia, and the Middle East.",Espionage,HIgh,Resolved
10/3/2019,PKplug,Chinese government threat actor PKplug targeted organizations in East and Southeast Asia.,Espionage,Critical,Investigating
8/7/2019,,"A threat actor broke into the systems of Bahrain's National Security Agency, Ministry of Interior, and office of the first deputy prime minister. On July 25, 2019, Bahraini authorities detected intrusions into its electric and water authority that shut down several systems. The attacks were similar to two hacks in 2012, in which the Shamoon virus was used to knock Qatar's natural gas firm RasGas offline and wipe data from the hard drives at Saudi Aramco, Saudi Arabia's national oil company.",Sabotage,High,Investigating
11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019. ",Espionage,Low,Open
3/6/2019,Believed to be behind the Singapore health-care breach in July 2018.,"This threat actor has been active since mid-2017, targeting mainly health-care, media, telecommunications, and engineering organizations in Singapore, in addition to multinational companies with a presence in the country. The group has also targeted defense, telecommunications, and energy companies in Russia, the United Kingdom, and Southeast Asia. The group relies on a combination of custom malware, open-source hacking tools, and legitimate applications to achieve its goals.",,Critical,Resolved
11/7/2019,The Lazarus Group,North Korean hackers attacked the Indian Space Research Organization as part of a broader assault on India’s government agencies.,Espionage,High,Open
11/29/2019,Bronze Butler,China-linked espionage group Bronze Butler targeted companies with head offices in Japan and subsidiaries in China to try to steal highly classified information.,Espionage,High,Investigating
10/4/2019,Phosphorus,"Iranian threat actor Phosphorus attacked 241 email accounts associated with a U.S. presidential campaign government officials, and journalists, and prominent expatriate Iranians.",Espionage,Medium,Investigating
6/13/2019,Hong Kong police,"Hong Kong authorities used a network of Chinese computers to track protesters' organizing activity on Telegram, a secure messaging app.",Espionage,HIgh,Resolved
11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",Espionage,Critical,Resolved
3/12/2019,Believed to be the work of Russian and Chinese hackers.,Senior Indonesian election officials accused Chinese and Russian hackers of manipulating and modifying Indonesia's voter data base to disrupt the presidential elections.,Espionage,High,Investigating
9/26/2019,Believed to be the work of APT 10 or the Jiangsu Province Ministry of State Security.,"A threat actor targeted virtual private networks (VPNs) used by suppliers of European aerospace company Airbus with a series of attacks. The attacks resulted in unauthorized access to data, including the theft of documents related to Airbus's military transport plane A400M, designed with one of the most powerful propeller engines in the world.",Espionage,Low,Investigating
10/3/2019,Government of Egypt,"The Egyptian government installed mobile apps on targets’ phones to extract files, track their locations, and identify contacts.",Espionage,Critical,Open
8/15/2019,China’s Ministry of State Security,A threat actor targeted the computer network of the Parliament of Australia. The hackers breached the Parliament's network and the networks of the three largest political parties.,Espionage,High,Resolved
