id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
45,T045,High,In Progress,Transportation,U.S. Domestic,Analyze domestic travel,2024-11-01,2025-12-15,Technician,2025-12-15 09:45:00
46,T046,Medium,Open,Transportation,U.S. Freight,Check freight data,2024-11-02,2025-12-16,Admin Team,2025-12-16 10:05:00
47,T047,High,In Progress,Complementary Collections,Data Packaged,Process public datasets,2024-11-02,2025-12-17,Technician,2025-12-17 09:55:00
48,T048,Medium,Open,Agriculture,USDA PLANTS,Review plant species dataset,2024-11-01,2025-12-18,Admin Team,2025-12-18 10:10:00
49,T049,High,In Progress,Computer Networks,ClueWeb09,Analyze ClueWeb09 dataset,2024-11-05,2025-12-19,Technician,2025-12-19 09:50:00
50,T050,Medium,Open,Computer Networks,ClueWeb12,Check ClueWeb12 data,2024-11-06,2025-12-20,Admin Team,2025-12-20 10:05:00
51,T051,High,In Progress,Energy,DEFRA Projects,Review DEFRA projects dataset,2024-11-07,2025-12-21,Technician,2025-12-21 09:45:00
52,T052,Medium,Open,Energy,UK-DALE,Analyze energy dataset,2024-11-08,2025-12-22,Admin Team,2025-12-22 10:10:00
53,T053,High,In Progress,GIS,Landsat 8,Process Landsat satellite images,2024-11-09,2025-12-23,Technician,2025-12-23 09:50:00
54,T054,Medium,Open,GIS,Reverse Geocode,Check reverse geocode dataset,2025-04-05,2025-12-24,Admin Team,2025-12-24 10:05:00
55,T055,High,In Progress,Image Processing,Faces Database,Analyze facial dataset,2024-11-10,2025-12-25,Technician,2025-12-25 09:55:00
