dataset_name,category,source,last_updated,record_count,file_size_mb
Threat Intel Logs Q1 2025,Threat Intelligence,External Threat Feed,2025-11-01,250000,120.5
Corporate Network Logs Apr-May 2025,Network Logs,Internal SIEM,2025-10-28,1500000,950.0
Endpoint Security Events Mar 2025,Endpoint Monitoring,Internal EDR,2025-10-30,500000,320.2
Phishing Campaign Data Oct 2025,Threat Intelligence,External Security Vendor,2025-11-10,12000,5.5
Firewall Logs Sep-Oct 2025,Network Logs,Internal Firewall,2025-10-25,800000,480.0
Malware Samples Archive,Threat Intelligence,Open Malware Repo,2025-11-12,40000,250.7
User Access Logs Oct 2025,Access Logs,Internal AD,2025-11-05,1000000,600.0
Dark Web Threat Reports,Threat Intelligence,External Dark Web Feed,2025-10-20,8500,15.3
Email Security Logs Sep 2025,Email Security,Internal Email Gateway,2025-10-15,450000,200.8
VPN Connection Logs Oct 2025,Network Logs,Internal VPN Server,2025-11-08,200000,120.0
Ransomware Incident Reports,Threat Intelligence,Internal Incident Response,2025-11-11,1800,8.2
IoT Device Logs,Network Logs,Internal IoT Hub,2025-10-18,350000,210.4
Security Alerts Dashboard,Threat Intelligence,Internal SIEM,2025-11-09,7500,6.1
Cloud Access Logs Oct 2025,Access Logs,Cloud Provider,2025-11-03,950000,540.5
DNS Query Logs Sep 2025,Network Logs,Internal DNS Server,2025-10-22,3000000,1800.0
Web Proxy Logs Oct 2025,Network Logs,Internal Proxy,2025-11-07,850000,470.2
Employee Security Training Records,HR Data,Internal LMS,2025-10-30,12000,3.0
Incident Response Playbooks,Threat Intelligence,Internal Knowledge Base,2025-11-02,500,0.8
Cloud Security Events Oct 2025,Cloud Security,Cloud Provider,2025-11-06,600000,350.0
Malware Sandbox Analysis,Threat Intelligence,Internal Sandbox,2025-11-04,20000,180.0
Web Application Logs Sep-Oct 2025,Network Logs,Internal Web Server,2025-10-29,400000,220.5
Privilege Access Audit Logs,Access Logs,Internal AD,2025-11-01,150000,75.3
Threat Actor Profiles,Threat Intelligence,External Security Vendor,2025-11-03,1200,12.0
Phishing Email Templates,Threat Intelligence,Internal SOC,2025-10-27,850,1.2
Network Intrusion Alerts Oct 2025,Network Logs,Internal IDS,2025-11-08,45000,28.7
Malware Execution Traces,Threat Intelligence,Internal Sandbox,2025-11-10,15000,95.5
Endpoint Configuration Snapshots,Endpoint Monitoring,Internal EDR,2025-11-05,10000,15.0
Database Access Logs Oct 2025,Access Logs,Internal DB Server,2025-11-02,200000,110.0
Cyber Risk Assessment Reports,Threat Intelligence,Internal GRC,2025-10-30,300,2.1
Vulnerability Scan Results Oct 2025,Threat Intelligence,Internal Vulnerability Scanner,2025-11-07,7500,25.0
Cloud Storage Audit Logs,Cloud Security,Cloud Provider,2025-11-09,120000,90.0
Internal Ticketing System Logs,Access Logs,Internal ITSM,2025-11-06,500000,180.0
Network Topology Snapshots,Network Logs,Internal Network Team,2025-10-31,1000,12.5
Threat Intel Historical Archive,Threat Intelligence,External Feed,2025-11-12,500000,300.0
Firewall Rule Changes Audit,Network Logs,Internal Firewall,2025-11-08,1500,2.0
Malware Behavioral Analysis,Threat Intelligence,Internal Sandbox,2025-11-11,22000,150.0
Cloud Configuration Snapshots,Cloud Security,Cloud Provider,2025-11-05,4500,20.0
Phishing Simulation Results,Threat Intelligence,Internal SOC,2025-10-29,12000,6.5
id,ticket_id,dataset_name,source,category,last_updated,record_count,file_size_mb,assigned_to,priority,status,created_at
23,T023,Arabic 30K articles,https://github.com/ParallelMazen/SaudiNewsNet,Natural Language,2024-11-01,67,3.3,Technician,Medium,Open,2025-11-23 09:45:00
24,T024,USENET postings,http://www.psych.ualberta.ca/~westburylab/downloads/usenetcorpus.download.html,Natural Language,2024-11-02,56,2.3,Admin Team,High,In Progress,2025-11-24 10:20:00
25,T025,Datahub.io,https://datahub.io/dataset,Search Engines,2024-11-02,45,2.3,Technician,Medium,Open,2025-11-25 09:55:00
26,T026,Twitter Scrape CIKM,https://archive.org/details/twitter_cikm_2010,Social Networks,2024-11-01,34,2.3,Admin Team,High,In Progress,2025-11-26 10:10:00
27,T027,Facebook Data,https://archive.org/details/oxford-2005-facebook-matrix,Social Networks,2024-11-05,23,2.3,Technician,Medium,Open,2025-11-27 09:40:00
28,T028,LAW graphs,http://law.di.unimi.it/datasets.php,Social Networks,2024-11-06,12,2.3,Admin Team,High,In Progress,2025-11-28 10:05:00
29,T029,Foursquare from,https://archive.org/details/201309_foursquare_dataset_umn,Social Networks,2024-11-07,1,2.3,Technician,Medium,Open,2025-11-29 09:50:00
30,T030,Skytrax' Air,https://github.com/quankiquanki/skytrax-reviews-dataset,Social Networks,2024-11-08,23,2.3,Admin Team,High,In Progress,2025-11-30 10:15:00
31,T031,Twitter Scrape,http://archive.org/details/2011-05-calufa-twitter-sql,Social Networks,2024-11-09,199,2.3,Technician,Medium,Open,2025-12-01 09:55:00
32,T032,Youtube Video,http://netsg.cs.sfu.ca/youtubedata/,Social Networks,2025-04-05,375,2.3,Admin Team,High,In Progress,2025-12-02 10:05:00
33,T033,FBI Hate Crime 2013,https://github.com/emorisse/FBI-Hate-Crime-Statistics/tree/master/2013,Social Sciences,2024-11-08,551,2.3,Technician,High,Open,2025-12-03 09:40:00
34,T034,GSS,http://gss.norc.org,Social Sciences,2024-11-01,727,2.3,Admin Team,Medium,Open,2025-12-04 10:10:00
35,T035,Texas Inmates,http://www.tdcj.state.tx.us/death_row/dr_executed_offenders.html,Social Sciences,2024-11-02,903,2.3,Technician,High,In Progress,2025-12-05 09:50:00
36,T036,Formula 1,http://ergast.com/mrd/db,Sports,2024-11-02,1079,2.3,Admin Team,Medium,Open,2025-12-06 10:00:00
37,T037,Pinhooker: Thoroughbred,https://github.com/phillc73/pinhooker,Sports,2024-11-01,1255,2.3,Technician,High,In Progress,2025-12-07 09:55:00
38,T038,Airlines OD,http://stat-computing.org/dataexpo/2009/the-data.html,Transportation,2024-11-05,1431,2.3,Admin Team,Medium,Open,2025-12-08 10:10:00
39,T039,BSS,https://github.com/BetaNYC/Bike-Share-Data-Best-Practices/wiki/Bike-Share-Data-Systems,Transportation,2024-11-06,1607,2.3,Technician,High,In Progress,2025-12-09 09:50:00
40,T040,NYC Taxi,http://www.nyc.gov/html/tlc/html/about/trip_record_data.shtml,Transportation,2024-11-07,1783,2.3,Admin Team,Medium,Open,2025-12-10 10:05:00
41,T041,FOIA/FOILed,https://archive.org/details/nycTaxiTripData2013,Transportation,2024-11-08,1959,2.3,Technician,High,In Progress,2025-12-11 09:45:00
42,T042,NYC Uber,https://github.com/fivethirtyeight/uber-tlc-foil-response,Transportation,2024-11-09,2135,2.3,Admin Team,Medium,Open,2025-12-12 10:15:00
43,T043,Open Traffic,https://github.com/graphhopper/open-traffic-collection,Transportation,2025-04-05,2311,2.3,Technician,High,In Progress,2025-12-13 09:50:00
44,T044,Plane Crash,http://www.planecrashinfo.com/database.htm,Transportation,2024-11-09,2487,2.3,Admin Team,Medium,Open,2025-12-14 10:10:00
45,T045,U.S. Domestic,http://academictorrents.com/details/a2ccf94bbb4af222bf8e69dad60a68a29f310d9a,Transportation,2024-11-01,2663,2.3,Technician,High,In Progress,2025-12-15 09:45:00
46,T046,U.S. Freight,http://ops.fhwa.dot.gov/freight/freight_analysis/faf/index.htm,Transportation,2024-11-02,2839,2.3,Admin Team,Medium,Open,2025-12-16 10:05:00
47,T047,Data Packaged,https://github.com/datasets/,Complementary Collections,2024-11-02,3015,3.4,Technician,High,In Progress,2025-12-17 09:55:00
48,T048,USDA PLANTS,http://www.plants.usda.gov/dl_all.html,Agriculture,2024-11-01,3191,4.5,Admin Team,Medium,Open,2025-12-18 10:10:00
49,T049,ClueWeb09,http://lemurproject.org/clueweb09/,Computer Networks,2024-11-05,3367,4.5,Technician,High,In Progress,2025-12-19 09:50:00
50,T050,ClueWeb12,http://lemurproject.org/clueweb12/,Computer Networks,2024-11-06,3543,4.5,Admin Team,Medium,Open,2025-12-20 10:05:00
51,T051,DEFRA Projects,http://randd.defra.gov.uk/,Energy,2024-11-07,3719,4.5,Technician,High,In Progress,2025-12-21 09:45:00
52,T052,UK-DALE,http://www.doc.ic.ac.uk/~dk3810/data/,Energy,2024-11-08,3895,4.5,Admin Team,Medium,Open,2025-12-22 10:10:00
53,T053,Landsat 8,https://aws.amazon.com/public-data-sets/landsat/,GIS,2024-11-09,4071,4.5,Technician,High,In Progress,2025-12-23 09:50:00
54,T054,Reverse Geocode,https://github.com/kno10/reversegeocode,GIS,2025-04-05,4247,4.5,Admin Team,Medium,Open,2025-12-24 10:05:00
55,T055,Faces Database,http://wilmabainbridge.com/facememorability2.html,Image Processing,2024-11-10,4423,4.5,Technician,High,In Progress,2025-12-25 09:55:00
