id,date,incident_type,severity,status,description,reported_by,created_at
30,2025-10-14,Phishing,High,Open,Multiple phishing emails with fake attachments,frank,2025-10-14 09:45:00
31,2025-10-15,DDoS,Medium,Closed,Mitigated traffic spike from botnet,alice,2025-10-15 14:10:00
32,2025-10-16,Ransomware,Critical,Investigating,Encrypted HR data detected,bob,2025-10-16 12:05:00
33,2025-10-17,Phishing,High,Open,Targeted emails to executives,charlie,2025-10-17 10:30:00
34,2025-10-18,Malware,Medium,Resolved,Adware removed from employee machine,diana,2025-10-18 11:10:00
35,2025-10-19,Phishing,High,Open,Spear-phishing detected in internal emails,emma,2025-10-19 09:50:00
36,2025-10-20,DDoS,Medium,Closed,Website downtime due to attack,frank,2025-10-20 13:20:00
37,2025-10-21,Phishing,Critical,Open,Phishing campaign targeting finance,alice,2025-10-21 09:35:00
38,2025-10-22,Ransomware,High,Investigating,HR server locked by ransomware,bob,2025-10-22 12:40:00
39,2025-10-23,Phishing,High,Open,Multiple phishing attempts blocked,charlie,2025-10-23 10:05:00
40,2025-10-24,Malware,Medium,Resolved,Detected malware removed successfully,diana,2025-10-24 11:25:00
41,2025-10-25,Phishing,High,Open,Targeted phishing emails to IT team,emma,2025-10-25 09:55:00
42,2025-10-26,DDoS,Medium,Closed,Public facing API attacked,frank,2025-10-26 13:15:00
43,2025-10-27,Phishing,High,Open,Critical phishing campaign ongoing,alice,2025-10-27 09:50:00
44,2025-10-28,Ransomware,Critical,Investigating,Ransomware attempt prevented,bob,2025-10-28 12:20:00
45,2025-10-29,Malware,Medium,Resolved,Trojan removed from laptop,charlie,2025-10-29 11:00:00
46,2025-10-30,Phishing,High,Open,Multiple phishing emails to employees,diana,2025-10-30 09:45:00
47,2025-10-31,DDoS,Medium,Closed,Temporary outage mitigated,emma,2025-10-31 13:10:00
48,2025-11-01,Phishing,Critical,Open,Spear-phishing targeting execs,frank,2025-11-01 09:30:00
49,2025-11-02,Phishing,High,Open,Credential phishing detected,alice,2025-11-02 10:05:00
50,2025-11-03,Malware,Medium,Resolved,Rogue software blocked,bob,2025-11-03 11:15:00
51,2025-11-04,Phishing,High,Open,Targeted phishing attempt,charlie,2025-11-04 09:55:00
52,2025-11-05,Ransomware,Critical,Investigating,Ransomware blocked,diana,2025-11-05 12:10:00
53,2025-11-06,Phishing,High,Open,Multiple phishing emails reported,emma,2025-11-06 10:00:00
54,2025-11-07,DDoS,Medium,Closed,Mitigated DDoS traffic,frank,2025-11-07 13:20:00
55,2025-11-08,Phishing,Critical,Open,Spear-phishing ongoing,alice,2025-11-08 09:40:00
56,2025-11-09,Phishing,High,Open,Targeted phishing in finance dept,bob,2025-11-09 10:15:00
57,2025-11-10,Malware,Medium,Resolved,Malware quarantined,charlie,2025-11-10 11:25:00
58,2025-11-11,Phishing,High,Open,Phishing emails detected,diana,2025-11-11 09:50:00
59,2025-11-12,Ransomware,Critical,Investigating,Ransomware stopped,emma,2025-11-12 12:30:00
60,2025-11-13,Phishing,High,Open,Phishing attempts blocked,frank,2025-11-13 09:55:00
