id,dataset_name,source,category,last_updated,record_count,file_size_mb,created_at
43,Open Traffic,https://github.com/graphhopper/open-traffic-collection,Transportation,4/5/2027,2311,2.3,
44,Plane Crash,http://www.planecrashinfo.com/database.htm,Transportation,11/9/2024,2487,2.3,
45,U.S. Domestic,http://academictorrents.com/details/a2ccf94bbb4af222bf8e69dad60a68a29f310d9a,Transportation,11/1/2024,2663,2.3,
46,U.S. Freight,http://ops.fhwa.dot.gov/freight/freight_analysis/faf/index.htm,Transportation,11/2/2024,2839,2.3,
47,Data Packaged,https://github.com/datasets/,Complementary Collections,11/2/2024,3015,3.4,
48,USDA PLANTS,http://www.plants.usda.gov/dl_all.html,Agriculture,11/1/2024,3191,4.5,
49,ClueWeb09,http://lemurproject.org/clueweb09/,Computer Networks,11/5/2024,3367,4.5,
50,ClueWeb12,http://lemurproject.org/clueweb12/,Computer Networks,11/6/2024,3543,4.5,
51,DEFRA Projects,http://randd.defra.gov.uk/,Energy,11/7/2024,3719,4.5,
52,UK-DALE,http://www.doc.ic.ac.uk/~dk3810/data/,Energy,11/8/2024,3895,4.5,
53,Landsat 8,https://aws.amazon.com/public-data-sets/landsat/,GIS,11/9/2024,4071,4.5,
54,Reverse Geocode,https://github.com/kno10/reversegeocode,GIS,4/5/2028,4247,4.5,
55,Faces Database,http://wilmabainbridge.com/facememorability2.html,Image Processing,11/10/2024,4423,4.5,
56,ClueWeb09 FACC,http://lemurproject.org/clueweb09/FACC1/,Natural Language,11/1/2024,4599,4.5,
57,ClueWeb12 FACC,http://lemurproject.org/clueweb12/FACC1/,Natural Language,11/2/2024,4775,4.5,
58,Google Ngrams,https://aws.amazon.com/datasets/google-books-ngrams/,Natural Language,11/2/2024,4951,4.5,
59,EDRM Enron,https://aws.amazon.com/datasets/enron-email-data/,Social Networks,11/1/2024,5127,4.5,
60,GetGlue,http://getglue-data.s3.amazonaws.com/getglue_sample.tar.gz,Social Networks,11/5/2024,5303,4.5,
61,Twitter RepLab,http://nlp.uned.es/replab2013/,Social Networks,11/6/2024,5479,4.5,
