dataset_name,category,source,last_updated,record_count,file_size_mb
Finance Logs 2024 Q2,Finance,Internal System,2025-07-03,2005914,1181.82
IT Transactions 2025 Q1,IT,External Feed,2025-08-04,4423125,236.16
Cyber Survey Data 2025 Q3,Cyber,Survey Tool,2025-10-31,924811,909.49
HR Sensor Data 2024 Q3,HR,Public Dataset,2025-11-26,271310,131.04
Sales Feed 2025 Q4,Sales,IoT Sensors,2025-02-25,4122673,1427.68
Sales Logs 2024 Q3,Sales,Survey Tool,2025-03-17,560982,261.12
R&D Survey Data 2025 Q4,R&D,Survey Tool,2025-11-06,3618773,207.37
Cyber Feed 2024 Q4,Cyber,Public Dataset,2025-04-27,3481319,684.47
Sales Survey Data 2025 Q1,Sales,API,2025-08-07,2631637,1333.56
R&D Transactions 2025 Q1,R&D,Internal System,2025-02-13,792070,869.43
R&D Feed 2024 Q1,R&D,Survey Tool,2025-10-15,4721741,666.0
Cyber Survey Data 2025 Q4,Cyber,IoT Sensors,2025-01-27,2422810,1204.82
R&D Logs 2024 Q2,R&D,IoT Sensors,2025-09-04,1891102,1696.08
R&D Feed 2025 Q1,R&D,API,2025-10-21,1907159,1616.37
IT Sensor Data 2025 Q1,IT,External Feed,2025-05-20,2601951,1843.86
R&D Logs 2024 Q2,R&D,Survey Tool,2025-07-25,593724,292.33
IT Logs 2024 Q4,IT,Public Dataset,2025-08-21,2869642,323.24
Marketing Records 2025 Q1,Marketing,Internal System,2025-03-21,1330449,1511.33
IT Records 2024 Q3,IT,Public Dataset,2025-08-06,4084025,1218.08
Operations Analytics 2024 Q1,Operations,API,2025-08-09,940210,573.66
Sales Sensor Data 2025 Q1,Sales,External Feed,2025-07-22,469544,25.3
Marketing Transactions 2024 Q3,Marketing,API,2025-06-17,1016501,25.38
Operations Transactions 2024 Q4,Operations,Survey Tool,2025-04-28,4206504,1121.86
R&D Logs 2025 Q1,R&D,Public Dataset,2025-01-10,3866698,1843.11
R&D Sensor Data 2025 Q4,R&D,IoT Sensors,2025-11-24,3513870,586.14
Operations Logs 2025 Q2,Operations,Survey Tool,2025-08-24,3045440,185.38
Cyber Transactions 2025 Q4,Cyber,Survey Tool,2025-02-10,3329931,1742.34
R&D Transactions 2025 Q2,R&D,Internal System,2025-09-19,966524,1065.9
HR Feed 2025 Q3,HR,IoT Sensors,2025-11-27,1248912,480.18
Finance Analytics 2024 Q2,Finance,Survey Tool,2025-03-20,642109,362.52
Sales Survey Data 2025 Q3,Sales,IoT Sensors,2025-06-11,1276322,885.13
Sales Survey Data 2025 Q3,Sales,Survey Tool,2025-01-29,2962305,1019.6
Marketing Survey Data 2025 Q1,Marketing,Internal System,2025-07-08,2418176,162.69
Cyber Sensor Data 2025 Q4,Cyber,Survey Tool,2025-10-11,354123,904.97
HR Analytics 2025 Q2,HR,Internal System,2025-08-19,878236,1623.82
R&D Records 2024 Q2,R&D,Internal System,2025-05-07,3682182,1982.06
Finance Analytics 2025 Q3,Finance,Public Dataset,2025-07-29,2848429,1361.01
IT Feed 2025 Q1,IT,API,2025-02-18,4690534,1359.97
Marketing Analytics 2024 Q3,Marketing,Internal System,2025-10-26,1196387,1834.33
Marketing Records 2025 Q2,Marketing,Survey Tool,2025-02-13,2606961,1122.25
R&D Feed 2024 Q1,R&D,IoT Sensors,2025-08-05,4275510,730.04
R&D Analytics 2024 Q2,R&D,API,2025-09-06,1620656,460.82
Finance Transactions 2024 Q3,Finance,Internal System,2025-09-17,4537925,1671.89
IT Records 2025 Q2,IT,Survey Tool,2025-07-12,1303965,332.87
Finance Records 2025 Q1,Finance,Public Dataset,2025-07-06,2002547,1939.48
Marketing Feed 2025 Q2,Marketing,Survey Tool,2025-05-03,2606004,1931.54
Sales Feed 2024 Q3,Sales,IoT Sensors,2025-10-20,3705998,928.74
Marketing Feed 2025 Q4,Marketing,External Feed,2025-04-13,1170971,1747.27
IT Records 2025 Q3,IT,Survey Tool,2025-02-22,4337761,1703.82
Marketing Logs 2024 Q3,Marketing,Public Dataset,2025-09-20,1246050,1663.78
Cyber Transactions 2025 Q3,Cyber,Internal System,2025-08-01,456751,798.94
R&D Transactions 2025 Q1,R&D,API,2025-04-25,246454,644.18
Cyber Feed 2025 Q2,Cyber,External Feed,2025-01-20,2416518,1835.62
Sales Records 2024 Q4,Sales,Public Dataset,2025-11-12,54050,1812.66
IT Analytics 2024 Q2,IT,Survey Tool,2025-11-08,4437268,852.28
Marketing Transactions 2025 Q1,Marketing,Internal System,2025-05-03,3531751,1281.51
Sales Logs 2024 Q4,Sales,Survey Tool,2025-10-02,147869,1267.59
HR Records 2024 Q3,HR,Public Dataset,2025-01-01,2969635,488.72
Operations Transactions 2024 Q3,Operations,Internal System,2025-09-27,4574090,1019.58
IT Survey Data 2025 Q1,IT,IoT Sensors,2025-07-18,3141487,514.76
IT Analytics 2024 Q3,IT,External Feed,2025-11-18,879595,1545.29
R&D Transactions 2024 Q3,R&D,Survey Tool,2025-06-23,1478754,1662.46
Sales Records 2025 Q2,Sales,External Feed,2025-02-02,3849294,83.6
HR Logs 2024 Q1,HR,API,2025-06-08,4333350,802.47
Sales Analytics 2024 Q2,Sales,API,2025-07-02,411009,1732.94
R&D Analytics 2024 Q3,R&D,Public Dataset,2025-07-24,3698778,1790.33
Operations Analytics 2024 Q4,Operations,IoT Sensors,2025-09-12,3091529,1849.38
Marketing Feed 2024 Q4,Marketing,Internal System,2025-08-09,1523778,1095.49
R&D Logs 2024 Q3,R&D,IoT Sensors,2025-06-01,2581073,897.37
Operations Transactions 2025 Q3,Operations,Public Dataset,2025-01-22,2967481,1233.55
Operations Analytics 2024 Q1,Operations,IoT Sensors,2025-11-23,3417538,732.99
Finance Logs 2024 Q4,Finance,Internal System,2025-03-06,573994,479.63
R&D Analytics 2025 Q1,R&D,Survey Tool,2025-03-20,3784224,1898.16
R&D Survey Data 2024 Q2,R&D,Survey Tool,2025-07-07,3348951,635.63
Marketing Transactions 2024 Q1,Marketing,IoT Sensors,2025-04-06,4196284,1040.31
Cyber Analytics 2025 Q4,Cyber,External Feed,2025-11-10,2405592,1391.02
Sales Transactions 2024 Q2,Sales,Internal System,2025-08-20,1458346,1798.37
Sales Logs 2025 Q3,Sales,IoT Sensors,2025-02-03,4623710,1088.92
Marketing Feed 2024 Q2,Marketing,API,2025-09-18,1891075,251.51
HR Feed 2024 Q2,HR,Public Dataset,2025-01-14,3037419,1112.5
R&D Survey Data 2024 Q1,R&D,Internal System,2025-06-08,3350007,1999.19
Sales Sensor Data 2025 Q4,Sales,Survey Tool,2025-02-07,1061317,1945.04
Cyber Survey Data 2025 Q3,Cyber,External Feed,2025-10-10,4940706,372.11
Finance Survey Data 2024 Q1,Finance,Survey Tool,2025-03-20,2561181,337.67
R&D Records 2024 Q3,R&D,Survey Tool,2025-05-26,671524,508.7
Marketing Transactions 2025 Q1,Marketing,Survey Tool,2025-11-25,1424620,1187.7
Finance Transactions 2025 Q1,Finance,Internal System,2025-02-11,391361,1897.61
Marketing Records 2024 Q4,Marketing,Survey Tool,2025-11-24,264056,1001.1
Marketing Records 2025 Q4,Marketing,External Feed,2025-07-27,2505056,912.55
IT Transactions 2025 Q4,IT,Public Dataset,2025-08-26,1721469,686.98
Finance Analytics 2025 Q3,Finance,Public Dataset,2025-03-08,3118316,1034.81
Cyber Analytics 2024 Q4,Cyber,Internal System,2025-05-17,3781484,503.36
Cyber Logs 2025 Q4,Cyber,Survey Tool,2025-08-03,2092642,1925.74
Finance Feed 2025 Q3,Finance,External Feed,2025-03-23,4189754,1991.98
Sales Survey Data 2025 Q4,Sales,Internal System,2025-02-16,3308754,1015.83
HR Transactions 2025 Q1,HR,Internal System,2025-05-25,4161473,1199.06
Sales Analytics 2024 Q1,Sales,Public Dataset,2025-03-10,2228559,1457.74
Operations Analytics 2024 Q4,Operations,Internal System,2025-10-19,4722861,397.36
Marketing Logs 2025 Q4,Marketing,Survey Tool,2025-05-24,1006659,266.04
Cyber Survey Data 2025 Q3,Cyber,Survey Tool,2025-07-07,1220202,406.13
Operations Sensor Data 2024 Q1,Operations,Internal System,2025-03-12,2803747,1609.89
Sales Transactions 2024 Q3,Sales,Survey Tool,2025-06-13,1373165,791.98
Marketing Sensor Data 2025 Q4,Marketing,IoT Sensors,2025-10-16,2524825,955.04
IT Analytics 2025 Q1,IT,Public Dataset,2025-10-26,2590988,1595.54
IT Sensor Data 2025 Q3,IT,IoT Sensors,2025-10-24,4855548,462.81
IT Sensor Data 2025 Q2,IT,Survey Tool,2025-11-19,3199267,304.07
HR Logs 2024 Q2,HR,Internal System,2025-08-14,2641443,843.37
Operations Records 2024 Q4,Operations,Survey Tool,2025-11-10,3966113,1746.91
IT Records 2024 Q2,IT,Survey Tool,2025-06-16,4022866,1055.7
R&D Transactions 2025 Q3,R&D,Survey Tool,2025-07-01,2227630,1224.05
HR Transactions 2025 Q3,HR,External Feed,2025-06-02,2434342,1412.75
Sales Analytics 2025 Q3,Sales,Survey Tool,2025-05-21,2424152,252.53
Operations Survey Data 2025 Q2,Operations,API,2025-01-22,2422818,1911.07
Cyber Analytics 2025 Q3,Cyber,IoT Sensors,2025-09-03,1805051,412.12
Marketing Sensor Data 2025 Q2,Marketing,Internal System,2025-11-12,4932691,486.17
IT Records 2024 Q2,IT,Internal System,2025-02-21,3477023,667.28
Sales Logs 2024 Q1,Sales,Survey Tool,2025-03-22,3423387,1309.26
Sales Survey Data 2024 Q3,Sales,API,2025-05-27,506291,1816.79
Cyber Records 2024 Q1,Cyber,External Feed,2025-08-02,1484622,1868.51
IT Feed 2025 Q4,IT,External Feed,2025-05-29,324289,28.44
Cyber Analytics 2025 Q4,Cyber,IoT Sensors,2025-10-06,4408302,992.89
Finance Feed 2025 Q3,Finance,External Feed,2025-02-27,2783979,333.36
Sales Records 2025 Q2,Sales,Internal System,2025-06-22,2484842,1139.88
HR Transactions 2025 Q4,HR,Survey Tool,2025-06-17,737609,807.66
Cyber Transactions 2024 Q4,Cyber,API,2025-05-08,67295,528.96
HR Survey Data 2025 Q3,HR,API,2025-10-26,4815643,32.76
R&D Records 2024 Q1,R&D,IoT Sensors,2025-03-02,3914016,620.54
Operations Records 2025 Q1,Operations,IoT Sensors,2025-06-01,3093181,1233.1
HR Transactions 2025 Q2,HR,Public Dataset,2025-11-07,3144192,837.53
Sales Feed 2024 Q2,Sales,IoT Sensors,2025-11-02,696777,1055.76
R&D Logs 2024 Q1,R&D,Survey Tool,2025-09-16,1705813,1149.68
Finance Transactions 2025 Q4,Finance,Internal System,2025-04-16,4901797,982.77
Sales Feed 2024 Q4,Sales,External Feed,2025-09-20,3494833,919.03
IT Sensor Data 2025 Q3,IT,IoT Sensors,2025-01-12,3331458,516.37
IT Records 2024 Q1,IT,Internal System,2025-08-05,2900117,1403.77
IT Logs 2025 Q1,IT,API,2025-07-29,1519792,1540.25
Operations Analytics 2025 Q4,Operations,Public Dataset,2025-07-12,683185,1368.63
Finance Records 2025 Q1,Finance,External Feed,2025-10-03,3307214,1062.4
HR Feed 2024 Q1,HR,API,2025-08-26,4577138,854.01
Operations Feed 2024 Q2,Operations,Public Dataset,2025-06-27,1311252,558.54
Cyber Logs 2025 Q1,Cyber,External Feed,2025-04-16,574477,210.78
IT Survey Data 2024 Q2,IT,IoT Sensors,2025-01-23,3384446,883.54
HR Feed 2024 Q2,HR,Survey Tool,2025-05-29,1974289,1633.41
R&D Sensor Data 2025 Q2,R&D,API,2025-03-15,4382570,449.88
Marketing Analytics 2024 Q2,Marketing,IoT Sensors,2025-08-07,4672813,996.29
R&D Records 2025 Q3,R&D,IoT Sensors,2025-08-02,3434726,306.94
Operations Transactions 2025 Q2,Operations,External Feed,2025-06-03,1220910,1613.49
IT Sensor Data 2025 Q4,IT,Survey Tool,2025-09-29,1134851,782.95
Marketing Transactions 2025 Q1,Marketing,Public Dataset,2025-07-09,785644,1075.91
HR Logs 2025 Q4,HR,IoT Sensors,2025-11-06,341748,1748.5
HR Feed 2024 Q4,HR,External Feed,2025-06-20,2553325,1914.47
IT Transactions 2024 Q1,IT,IoT Sensors,2025-09-03,2045019,1394.3
HR Survey Data 2024 Q3,HR,API,2025-07-14,3921192,1071.96
R&D Analytics 2025 Q3,R&D,Survey Tool,2025-09-12,3919125,206.23
Sales Feed 2025 Q2,Sales,API,2025-06-10,3482297,100.97
HR Records 2024 Q1,HR,API,2025-10-11,4909214,1162.49
Operations Analytics 2024 Q2,Operations,API,2025-04-28,3196326,1143.88
HR Survey Data 2025 Q3,HR,Public Dataset,2025-11-25,4125414,927.05
R&D Transactions 2024 Q4,R&D,External Feed,2025-10-05,502680,1052.65
Cyber Feed 2024 Q1,Cyber,Public Dataset,2025-03-12,1951404,145.26
Finance Logs 2024 Q4,Finance,API,2025-01-31,4063410,1321.98
IT Logs 2025 Q1,IT,Internal System,2025-09-29,2314692,1076.12
Marketing Logs 2025 Q2,Marketing,Internal System,2025-02-19,4408863,306.31
HR Sensor Data 2025 Q3,HR,API,2025-07-23,672861,752.37
Operations Survey Data 2024 Q2,Operations,API,2025-02-11,275788,196.07
Operations Survey Data 2025 Q1,Operations,IoT Sensors,2025-01-05,1447669,174.55
Operations Records 2025 Q1,Operations,Survey Tool,2025-01-22,1937421,430.72
Sales Analytics 2024 Q1,Sales,IoT Sensors,2025-05-24,4565271,1131.38
IT Transactions 2025 Q1,IT,External Feed,2025-10-28,1219566,1506.99
Operations Logs 2025 Q2,Operations,Survey Tool,2025-05-04,4763789,1670.95
Operations Records 2025 Q4,Operations,IoT Sensors,2025-03-13,667899,1006.58
R&D Logs 2024 Q4,R&D,External Feed,2025-02-08,2867099,1214.29
Operations Feed 2025 Q1,Operations,IoT Sensors,2025-05-20,3789488,986.3
R&D Sensor Data 2025 Q4,R&D,External Feed,2025-10-27,3198281,180.53
Marketing Feed 2024 Q1,Marketing,Internal System,2025-05-18,1303699,766.2
Finance Records 2025 Q3,Finance,API,2025-02-24,777729,20.34
Marketing Survey Data 2025 Q3,Marketing,Internal System,2025-03-09,742302,382.91
Sales Sensor Data 2025 Q1,Sales,Internal System,2025-02-15,2978848,1112.9
R&D Feed 2025 Q1,R&D,API,2025-07-31,3263098,1560.55
HR Sensor Data 2024 Q4,HR,External Feed,2025-03-13,2265855,609.25
Sales Transactions 2024 Q2,Sales,Public Dataset,2025-05-22,3542462,606.51
Cyber Analytics 2025 Q2,Cyber,IoT Sensors,2025-11-17,4169092,1191.67
HR Survey Data 2024 Q2,HR,API,2025-01-04,3329304,671.11
Operations Feed 2025 Q4,Operations,API,2025-08-09,4996129,280.89
R&D Sensor Data 2024 Q4,R&D,API,2025-04-01,3350675,1937.76
Marketing Records 2025 Q2,Marketing,API,2025-07-12,2361328,1634.82
Operations Analytics 2024 Q2,Operations,Survey Tool,2025-10-07,1519338,1366.61
IT Records 2025 Q2,IT,Public Dataset,2025-05-30,590144,1639.74
Operations Records 2025 Q2,Operations,IoT Sensors,2025-06-05,2040220,512.84
Finance Records 2025 Q4,Finance,Internal System,2025-08-18,4030112,1168.67
Operations Sensor Data 2024 Q3,Operations,IoT Sensors,2025-10-02,4991322,1279.98
Cyber Logs 2024 Q3,Cyber,External Feed,2025-11-28,381587,1130.81
Operations Feed 2025 Q4,Operations,Internal System,2025-01-06,837171,524.89
HR Survey Data 2025 Q4,HR,Public Dataset,2025-10-29,4208211,309.98
IT Survey Data 2024 Q3,IT,Public Dataset,2025-02-13,983660,1664.32
Finance Analytics 2025 Q3,Finance,Public Dataset,2025-04-16,4381428,971.02
Sales Logs 2025 Q4,Sales,API,2025-02-04,2528797,98.92
Cyber Logs 2025 Q1,Cyber,IoT Sensors,2025-03-26,2056090,1036.83
Finance Analytics 2025 Q4,Finance,External Feed,2025-07-27,1557293,380.91
Operations Survey Data 2024 Q2,Operations,Public Dataset,2025-10-31,3613350,783.78
